Lista
Insert at beginning
1000;1476
2000;1466
3000;1444
4000;1460
5000;1474
6000;1427
7000;1449
8000;1444
9000;1417
10000;1493
Insert at end
1000;1829
2000;1683
3000;1709
4000;1701
5000;1881
6000;1920
7000;1971
8000;2766
9000;3189
10000;3519
Insert at random
1000;10150
2000;20344
3000;32810
4000;44260
5000;51940
6000;64244
7000;73027
8000;88140
9000;107786
10000;136678
Delete at beginning
1000;1373
2000;1257
3000;1257
4000;1389
5000;1260
6000;1237
7000;1250
8000;1250
9000;1442
10000;1321
Delete at end
1000;1300
2000;1409
3000;1237
4000;1245
5000;1457
6000;1241
7000;1256
8000;1257
9000;1491
10000;1295
Delete at random
1000;11326
2000;35084
3000;62443
4000;90631
5000;94582
6000;136354
7000;161359
8000;233250
9000;250189
10000;293411
Find at beginning
1000;2374
2000;2292
3000;3947
4000;4264
5000;6010
6000;8579
7000;8995
8000;9034
9000;16019
10000;21528
Find at end
1000;20933
2000;45943
3000;68900
4000;89317
5000;111817
6000;136851
7000;181045
8000;259035
9000;413025
10000;550576
Find at random
1000;12210
2000;23048
3000;34826
4000;47077
5000;60882
6000;73288
7000;86641
8000;99912
9000;117695
10000;163701
