Tablica
Insert at beginning
1,3924
2,10851
3,24344
4,41022
5,61072
6,92495
7,137199
8,154918
9,209853
10,262074
Insert at end
1,2543
2,7101
3,15549
4,21062
5,32018
6,51874
7,79451
8,73568
9,125431
10,141736
Insert at random
1,2685
2,6910
3,12687
4,45929
5,31943
6,44215
7,56226
8,97471
9,156623
10,129099
Delete at beginning
1,2852
2,9931
3,23351
4,44968
5,56481
6,87699
7,109581
8,134092
9,172478
10,219536
Delete at end
1,2990
2,6284
3,13152
4,25160
5,37071
6,42863
7,58111
8,74339
9,106397
10,124599
Delete at end
1,2996
2,9671
3,18983
4,34245
5,47998
6,89993
7,89465
8,112341
9,151402
10,176368
Find at beginning
1,1055
2,2256
3,3467
4,5220
5,6695
6,8144
7,10255
8,15682
9,13571
10,27581
Find at end
1,2171
2,8522
3,24346
4,28738
5,55485
6,66344
7,99849
8,131484
9,162195
10,197904
Find at end
1,1785
2,5125
3,12427
4,24155
5,34165
6,40283
7,56508
8,67826
9,93597
10,110844
