Lista
Insert at beginning
1,1286
2,2269
3,4590
4,4928
5,5503
6,6810
7,9480
8,9121
9,10655
10,21003
Insert at end
1,1247
2,2222
3,3213
4,4548
5,5871
6,9703
7,9309
8,8787
9,11328
10,13250
Insert at random
1,1203
2,2271
3,3564
4,4522
5,6902
6,6953
7,8935
8,10402
9,10659
10,12294
Delete at beginning
1,1007
2,3708
3,8432
4,4687
5,5500
6,7821
7,9634
8,11283
9,11968
10,10991
Delete at end
1,1047
2,2202
3,3172
4,8613
5,6908
6,6395
7,7538
8,10048
9,13369
10,10996
Delete at end
1,12722
2,61718
3,104839
4,218537
5,308275
6,493431
7,698727
8,1054528
9,1534194
10,2041901
Find at beginning
1,3371
2,7231
3,10058
4,17703
5,25696
6,46647
7,47420
8,92116
9,143692
10,221815
Find at end
1,26430
2,96701
3,231412
4,388442
5,637158
6,931532
7,1354206
8,2130401
9,4335543
10,6883045
Find at end
1,10563
2,46716
3,113415
4,205120
5,345322
6,557160
7,782538
8,972805
9,1453581
10,1927405
